"","factor","gdppc.gap.ln_l","AME","SE","z","p","lower","upper","model"
"2334","gdppc.gap.ln_l",10.591464547108,-0.0936467911062222,0.0180072754842409,-5.20049749825716,1.98755794595755e-07,-0.128940402515026,-0.0583531796974201,"optimal"
"2335","gdppc.gap.ln_l",10.791464547108,-0.0874528268839221,0.0133902142135521,-6.53109991290593,6.52884247025001e-11,-0.113697164487762,-0.0612084892800851,"optimal"
"2336","gdppc.gap.ln_l",10.991464547108,-0.0792868352925724,0.0108457168767999,-7.31042827258153,2.66292267823163e-13,-0.100544049757617,-0.0580296208275254,"optimal"
"2337","gdppc.gap.ln_l",11.191464547108,-0.0698333836366927,0.0115288304553709,-6.05728255845411,1.3844028904817e-09,-0.0924294761130873,-0.0472372911602964,"optimal"
"2338","gdppc.gap.ln_l",11.391464547108,-0.0597961406695809,0.0138792981945133,-4.3082971366102,1.64516273325063e-05,-0.0869990652615187,-0.0325932160776428,"optimal"
"2339","gdppc.gap.ln_l",11.591464547108,-0.0498174545228999,0.0160248644701942,-3.10875980358891,0.00187874386792107,-0.0812256117416155,-0.0184092973041831,"optimal"
"2340","gdppc.gap.ln_l",11.791464547108,-0.0404176048320985,0.0171915855750467,-2.35101088585825,0.0187224861067464,-0.0741124933963279,-0.0067227162678682,"optimal"
"2341","gdppc.gap.ln_l",5.99146454710798,0.0786731130251549,0.0124619281718154,6.31307707286314,2.73541178844942e-10,0.0542481826304711,0.103098043419838,"nearest"
"2342","gdppc.gap.ln_l",6.19146454710798,0.0848528152033302,0.0135566582501648,6.25912475165467,3.87144090626508e-10,0.058282253282288,0.11142337712437,"nearest"
"2343","gdppc.gap.ln_l",6.39146454710798,0.0890859830423673,0.0184120061894718,4.83847236013357,1.30840886978877e-06,0.0529991140278734,0.12517285205686,"nearest"
"2344","gdppc.gap.ln_l",6.59146454710798,0.0909813872535785,0.0243779469309797,3.73211852134925,0.000189876119212113,0.0432014892518291,0.138761285255327,"nearest"
"2345","gdppc.gap.ln_l",6.79146454710798,0.0902953091072227,0.029796334730794,3.0304166577208,0.00244216576995371,0.0318955661635682,0.14869505205088,"nearest"
"2346","gdppc.gap.ln_l",6.99146454710798,0.0869473961181276,0.0338418141340487,2.5692297633255,0.0101924853418619,0.0206186592438931,0.153276132992361,"nearest"
"2347","gdppc.gap.ln_l",7.19146454710798,0.08101324077019,0.036137275945653,2.24181924758319,0.0249730567394418,0.0101854814173244,0.151841000123056,"nearest"
"2348","gdppc.gap.ln_l",7.39146454710798,0.0726986935562566,0.0365990113159791,1.9863567605313,0.046993724227209,0.000965949507162805,0.144431437605348,"nearest"
"2349","gdppc.gap.ln_l",7.59146454710798,0.0623042345120856,0.0353688205072799,1.76155816389924,0.078143977673773,-0.00701737985784445,0.131625848882016,"nearest"
