"","factor","gdppc.gap.ln_l","AME","SE","z","p","lower","upper","model"
"2315","gdppc.gap.ln_l",6.79146454710798,0.138816011014676,0.0350475034542249,3.96079598639548,7.47003353871464e-05,0.0701241664963545,0.207507855533002,"optimal"
"2316","gdppc.gap.ln_l",6.99146454710798,0.134392936352467,0.0388810394080328,3.45651603965869,0.000547206640596601,0.0581874994312416,0.210598373273695,"optimal"
"2317","gdppc.gap.ln_l",7.19146454710798,0.12632751835271,0.0404005781111821,3.12687402653144,0.00176675612572755,0.0471438403001957,0.205511196405224,"optimal"
"2318","gdppc.gap.ln_l",7.39146454710798,0.115091160107795,0.0397485351443268,2.89548180052169,0.00378576981354787,0.03718546278669,0.1929968574289,"optimal"
"2319","gdppc.gap.ln_l",7.59146454710798,0.101248029724033,0.0373062848630671,2.71396709952934,0.00664827685708593,0.0281290549954297,0.174367004452636,"optimal"
"2320","gdppc.gap.ln_l",7.79146454710798,0.0853747178886351,0.033584567659419,2.54208179049437,0.0110194383976967,0.0195501748398243,0.151199260937444,"optimal"
"2321","gdppc.gap.ln_l",7.99146454710798,0.0680024129839528,0.0291658914134636,2.33157327578067,0.0197231510743235,0.0108383162365579,0.125166509731347,"optimal"
"2322","gdppc.gap.ln_l",8.19146454710798,0.0495854841405202,0.0247078680507929,2.00687020177482,0.0447634854526955,0.00115895262619921,0.098012015654843,"optimal"
"2323","gdppc.gap.ln_l",8.39146454710798,0.030494119857622,0.0210246157151517,1.4504008192476,0.146946778787059,-0.0107133697328705,0.0717016094481139,"optimal"
"2324","gdppc.gap.ln_l",8.59146454710798,0.0110255520987065,0.0191156794183354,0.576780550532301,0.56408770988126,-0.0264404911012446,0.0484915952986574,"optimal"
"2325","gdppc.gap.ln_l",8.79146454710798,-0.00857225169273716,0.019722125417236,-0.434651515056563,0.663815396437362,-0.0472269072091016,0.0300824038236274,"optimal"
"2326","gdppc.gap.ln_l",8.99146454710798,-0.0280699045457737,0.0226192758002659,-1.24097273465509,0.214615821301831,-0.0724028704706734,0.0162630613791259,"optimal"
"2327","gdppc.gap.ln_l",9.19146454710798,-0.0472235387008493,0.0268821572498529,-1.75668709404293,0.0789711585469812,-0.0999115987373027,0.00546452133560517,"optimal"
"2328","gdppc.gap.ln_l",9.39146454710798,-0.0657435853563885,0.0316151611024557,-2.0794955035444,0.0375718306558729,-0.127708162482632,-0.00377900823014256,"optimal"
"2329","gdppc.gap.ln_l",9.59146454710798,-0.0832699258750536,0.0361091648363711,-2.30606069822971,0.0211072409614803,-0.15404258846616,-0.0124972632839451,"optimal"
"2330","gdppc.gap.ln_l",9.79146454710798,-0.099358776213905,0.0397745798894638,-2.49804715700404,0.0124879580325003,-0.177315520297465,-0.0214020321303443,"optimal"
"2331","gdppc.gap.ln_l",9.99146454710798,-0.113487387558046,0.0420503098391529,-2.69884783232626,0.00695799831892791,-0.195904480381537,-0.0310702947345571,"optimal"
